sku,name,customer_review_average,customer_review_count,regular_price,category_path,url
6524315,LG - 86” Class UQ75 Series LED 4K UHD Smart webOS TV (2022),4.7,1307,899.99,"Best Buy, TV & Home Theater, TVs, All Flat-Screen TVs",https://api.bestbuy.com/click/-/6524315/pdp
6525168,LG - StanbyME 27” Class LED Full HD Smart webOS Touch Screen (2022),4.7,285,999.99,"Best Buy, TV & Home Theater, TVs, All Flat-Screen TVs",https://api.bestbuy.com/click/-/6525168/pdp
6525169,"LG - Pose 55"" Class OLED 4K UHD Smart webOS TV with All-Around Design (2022)",5.0,2,1999.99,"Best Buy, TV & Home Theater, TVs, All Flat-Screen TVs",https://api.bestbuy.com/click/-/6525169/pdp
6525243,"Toshiba - 50"" Class C350 Series LED 4K UHD Smart Fire TV",4.5,1511,319.99,"Best Buy, TV & Home Theater, TVs, All Flat-Screen TVs",https://api.bestbuy.com/click/-/6525243/pdp
6531402,Samsung - 55in FLIP PRO Interactive - White,1.0,1,1799.99,"Best Buy, TV & Home Theater, TVs, All Flat-Screen TVs",https://api.bestbuy.com/click/-/6531402/pdp
6532119,"Toshiba - 43"" Class C350 Series LED 4K UHD Smart Fire TV",4.6,1665,279.99,"Best Buy, TV & Home Theater, TVs, All Flat-Screen TVs",https://api.bestbuy.com/click/-/6532119/pdp
6532123,"Toshiba - 65"" Class C350 Series LED 4K UHD Smart Fire TV",4.6,2594,419.99,"Best Buy, TV & Home Theater, TVs, All Flat-Screen TVs",https://api.bestbuy.com/click/-/6532123/pdp
6533537,"Samsung - 85"" Class QN90C Series Neo QLED 4K UHD Smart Tizen TV (2023)",4.8,579,2599.99,"Best Buy, TV & Home Theater, TVs, All Flat-Screen TVs",https://api.bestbuy.com/click/-/6533537/pdp
6533539,"Samsung - 75"" Class QN90C Series Neo QLED 4K UHD Smart Tizen TV (2023)",4.8,393,2199.99,"Best Buy, TV & Home Theater, TVs, All Flat-Screen TVs",https://api.bestbuy.com/click/-/6533539/pdp
6534588,LG - 50” Class 75 Series QNED 4K UHD Smart webOS TV (2023),4.3,92,449.99,"Best Buy, TV & Home Theater, TVs, All Flat-Screen TVs",https://api.bestbuy.com/click/-/6534588/pdp
6535915,LG - 65” Class UR9000 Series LED 4K UHD Smart webOS TV (2023),4.5,392,599.99,"Best Buy, TV & Home Theater, TVs, All Flat-Screen TVs",https://api.bestbuy.com/click/-/6535915/pdp
6535919,LG - 55” Class UR9000 Series LED 4K UHD Smart webOS TV (2023),4.5,412,499.99,"Best Buy, TV & Home Theater, TVs, All Flat-Screen TVs",https://api.bestbuy.com/click/-/6535919/pdp
6535924,LG - 75” Class UR9000 Series LED 4K UHD Smart webOS TV (2023),4.6,138,899.99,"Best Buy, TV & Home Theater, TVs, All Flat-Screen TVs",https://api.bestbuy.com/click/-/6535924/pdp
6535930,"LG - 77"" Class C3 Series OLED evo 4K UHD Smart webOS TV (2023)",4.8,1695,1999.99,"Best Buy, TV & Home Theater, TVs, All Flat-Screen TVs",https://api.bestbuy.com/click/-/6535930/pdp
6535936,"LG - 55"" Class G3 Series OLED evo 4K UHD Smart webOS TV with One Wall Design (2023)",4.7,188,1899.99,"Best Buy, TV & Home Theater, TVs, All Flat-Screen TVs",https://api.bestbuy.com/click/-/6535936/pdp
6536712,"Roku - 43"" Class Select Series 4K Smart RokuTV",4.7,1666,249.99,"Best Buy, TV & Home Theater, TVs, All Flat-Screen TVs",https://api.bestbuy.com/click/-/6536712/pdp
6536715,"Roku - 50"" Class Select Series 4K Smart RokuTV",4.7,1930,299.99,"Best Buy, TV & Home Theater, TVs, All Flat-Screen TVs",https://api.bestbuy.com/click/-/6536715/pdp
6536725,"Roku - 55"" Class Select Series 4K Smart RokuTV",4.8,1479,329.99,"Best Buy, TV & Home Theater, TVs, All Flat-Screen TVs",https://api.bestbuy.com/click/-/6536725/pdp
6536726,"Roku - 65"" Class Select Series 4K Smart RokuTV",4.6,1278,429.99,"Best Buy, TV & Home Theater, TVs, All Flat-Screen TVs",https://api.bestbuy.com/click/-/6536726/pdp
6536730,"Roku - 75"" Class Select Series 4K Smart RokuTV",4.7,411,599.99,"Best Buy, TV & Home Theater, TVs, All Flat-Screen TVs",https://api.bestbuy.com/click/-/6536730/pdp
6536733,"Roku - 55"" Class Plus Series QLED 4K Smart RokuTV",4.6,623,499.99,"Best Buy, TV & Home Theater, TVs, All Flat-Screen TVs",https://api.bestbuy.com/click/-/6536733/pdp
6536734,"Roku - 65"" Class Plus Series QLED 4K Smart RokuTV",4.6,621,649.99,"Best Buy, TV & Home Theater, TVs, All Flat-Screen TVs",https://api.bestbuy.com/click/-/6536734/pdp
6536735,"Roku - 75"" Class Plus Series QLED 4K Smart RokuTV",4.5,219,899.99,"Best Buy, TV & Home Theater, TVs, All Flat-Screen TVs",https://api.bestbuy.com/click/-/6536735/pdp
6537890,Samsung - 32” Class The Frame QLED Full HD Smart Tizen TV (2023),4.4,57,599.99,"Best Buy, TV & Home Theater, TVs, All Flat-Screen TVs",https://api.bestbuy.com/click/-/6537890/pdp
6538121,"TCL - 32"" Class S3 S-Class LED Full HD Smart TV with Google TV (2023)",4.4,750,139.99,"Best Buy, TV & Home Theater, TVs, All Flat-Screen TVs",https://api.bestbuy.com/click/-/6538121/pdp
6538126,"TCL - 40"" Class S3 S-Class LED Full HD Smart TV with Google TV (2023)",4.4,1151,159.99,"Best Buy, TV & Home Theater, TVs, All Flat-Screen TVs",https://api.bestbuy.com/click/-/6538126/pdp
6538128,"TCL - 75"" Class Q7 Series QLED 4K UHD HDR Smart TV with Google TV (2023)",4.6,920,1099.99,"Best Buy, TV & Home Theater, TVs, All Flat-Screen TVs",https://api.bestbuy.com/click/-/6538128/pdp
6538130,"TCL - 55"" Class Q7 Series QLED 4K UHD HDR Smart TV with Google TV (2023)",4.6,1255,449.99,"Best Buy, TV & Home Theater, TVs, All Flat-Screen TVs",https://api.bestbuy.com/click/-/6538130/pdp
6538132,"TCL - 65"" Class S4 S-Class 4K UHD HDR LED Smart TV with Google TV (2023)",4.5,470,397.99,"Best Buy, TV & Home Theater, TVs, All Flat-Screen TVs",https://api.bestbuy.com/click/-/6538132/pdp
6538137,"TCL - 65"" Class Q7 Series QLED 4K UHD HDR Smart TV with Google TV (2023)",4.7,1243,599.99,"Best Buy, TV & Home Theater, TVs, All Flat-Screen TVs",https://api.bestbuy.com/click/-/6538137/pdp
6538144,"TCL - 85"" Class Q7 Series QLED 4K UHD HDR Smart TV with Google TV (2023)",4.6,135,1499.99,"Best Buy, TV & Home Theater, TVs, All Flat-Screen TVs",https://api.bestbuy.com/click/-/6538144/pdp
6540945,Furrion - 50” Partial Sun 4K UHD Smart Outdoor TV (2023),4.4,139,1499.99,"Best Buy, TV & Home Theater, TVs, All Flat-Screen TVs",https://api.bestbuy.com/click/-/6540945/pdp
6541757,"Furrion - Aurora 65"" Sun Smart 4K LED Outdoor TV (2023)",4.3,3,3699.99,"Best Buy, TV & Home Theater, TVs, All Flat-Screen TVs",https://api.bestbuy.com/click/-/6541757/pdp
6541759,"Furrion - Aurora 75"" Sun Smart 4K LED Outdoor TV (2023)",3.0,4,4999.99,"Best Buy, TV & Home Theater, TVs, All Flat-Screen TVs",https://api.bestbuy.com/click/-/6541759/pdp
6542197,"DuraPro - Partial Sun Smart Series 43"" Class LED Outdoor Partial Sun 4K UHD Smart webOS TV (2025)",4.1,32,999.0,"Best Buy, TV & Home Theater, TVs, All Flat-Screen TVs",https://api.bestbuy.com/click/-/6542197/pdp
6542198,"DuraPro - Partial Sun Series 43"" Class LED Outdoor Partial Sun 4K UHD TV (2025)",3.7,27,699.0,"Best Buy, TV & Home Theater, TVs, All Flat-Screen TVs",https://api.bestbuy.com/click/-/6542198/pdp
